datetime,WIKI/AAPL,WIKI/MSFT,cash,commission,total,returns,equity_curve
2015/1/1,0.0,0.0,100000.0,0.0,100000.0,,
2015-01-02 00:00:00,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2015-01-05 00:00:00,10625.0,4632.5,84388.4,2.6,99645.9,-0.0035410000000000164,0.996459
2015-01-06 00:00:00,21252.0,9130.0,69128.29999999999,5.2,99510.29999999999,-0.0013608186588711657,0.9951029999999998
2015-01-07 00:00:00,32325.0,13868.999999999998,53934.69999999998,7.8,100128.69999999998,0.006214432073865739,1.0012869999999998
2015-01-08 00:00:00,44756.0,19036.0,38534.09999999998,10.4,102326.09999999998,0.02194575581226954,1.0232609999999998
2015-01-09 00:00:00,56005.0,23595.0,22583.499999999978,13.000000000000002,102183.49999999997,-0.0013935838461546224,1.0218349999999998
2015-01-12 00:00:00,65550.0,27960.0,6660.899999999979,15.600000000000003,100170.89999999998,-0.019695939168260956,1.001709
2015-01-13 00:00:00,77154.0,32448.499999999996,-8926.70000000002,18.200000000000003,100675.79999999997,0.005040385980359607,1.006758
2015-01-14 00:00:00,87840.0,36764.0,-24586.80000000002,20.800000000000004,100017.19999999998,-0.006541790579265294,1.000172
2015-01-15 00:00:00,96138.0,40932.0,-40164.90000000002,23.400000000000006,96905.09999999998,-0.031115648108525407,0.969051
2015-01-16 00:00:00,105990.0,46240.0,-55397.50000000003,26.000000000000007,96832.49999999997,-0.0007491865753196381,0.9683249999999999
2015-01-20 00:00:00,119592.0,51029.0,-70623.10000000003,28.60000000000001,99997.89999999997,0.03268943794697021,0.9999789999999998
2015-01-21 00:00:00,131460.0,55104.0,-86136.70000000004,31.20000000000001,100427.29999999996,0.004294090175893661,1.0042729999999997
2015-01-22 00:00:00,146120.0,61269.0,-101686.30000000005,33.800000000000004,105702.69999999995,0.052529541270152524,1.0570269999999997
2015-01-23 00:00:00,158172.0,66052.0,-117641.90000000005,36.4,106582.09999999995,0.008319560427500816,1.0658209999999997
2015-01-26 00:00:00,169650.0,70515.0,-133660.50000000006,38.99999999999999,106504.49999999994,-0.0007280772287279191,1.0650449999999996
2015-01-27 00:00:00,174624.0,68256.0,-149674.10000000003,41.59999999999999,93205.89999999997,-0.12486420761564054,0.9320589999999997
2015-01-28 00:00:00,196027.0,70023.0,-164856.7,44.19999999999998,101193.29999999999,0.08569629175835458,1.011933
2015-01-29 00:00:00,214020.0,75618.0,-180509.3,46.799999999999976,109128.70000000001,0.0784182351993663,1.0912870000000003
2015-01-30 00:00:00,222604.0,76760.0,-196602.89999999997,49.39999999999997,102761.10000000003,-0.05834945344350273,1.0276110000000005
2015-02-02 00:00:00,237260.0,82560.0,-212361.49999999994,51.999999999999964,107458.50000000006,0.04571185010670398,1.0745850000000008
2015-02-03 00:00:00,249165.0,87360.0,-228355.09999999992,54.59999999999996,108169.90000000008,0.006620230135354843,1.081699000000001
2015-02-04 00:00:00,263032.0,92048.00000000001,-244382.6999999999,57.19999999999995,110697.30000000012,0.023365095095770894,1.1069730000000013
2015-02-05 00:00:00,275862.0,97635.0,-260525.29999999987,59.79999999999995,112971.70000000013,0.020546119914397254,1.1297170000000014
2015-02-06 00:00:00,273539.0,101783.99999999999,-264771.59999999986,61.099999999999945,110551.40000000013,-0.021423949537804576,1.1055140000000014
2015-02-09 00:00:00,275356.0,105900.0,-269013.89999999985,62.39999999999994,112242.10000000015,0.01529333866418714,1.1224210000000017
2015-02-10 00:00:00,292848.0,110760.0,-285224.4999999998,64.99999999999994,118383.50000000017,0.05471565482114116,1.1838350000000017
2015-02-11 00:00:00,299712.0,114426.0,-289485.7999999998,66.29999999999994,124652.20000000019,0.05295248070888259,1.246522000000002
2015-02-12 00:00:00,303504.0,120652.00000000001,-293725.0999999998,67.59999999999994,130430.90000000021,0.046358588135628764,1.3043090000000022
2015-02-13 00:00:00,304992.0,127222.99999999999,-298035.3999999998,68.89999999999993,134179.6000000002,0.028740888853791446,1.341796000000002
2015-02-17 00:00:00,306792.0,130740.0,-302423.6999999998,70.19999999999993,135108.30000000022,0.006921320379551066,1.351083000000002
2015-02-18 00:00:00,308916.0,134943.0,-306782.99999999977,71.49999999999993,137076.00000000023,0.014563872093720454,1.3707600000000022
2015-02-19 00:00:00,308280.0,139200.0,-311137.29999999976,72.79999999999993,136342.70000000024,-0.005349587090373142,1.3634270000000024
2015-02-20 00:00:00,310788.0,144721.5,-315488.59999999974,74.09999999999992,140020.90000000026,0.026977608628844907,1.4002090000000025
2015-02-23 00:00:00,319200.0,150110.0,-319875.39999999973,75.39999999999992,149434.60000000027,0.06723067770597102,1.4943460000000026
2015-02-24 00:00:00,317207.99999999994,154315.0,-324291.6999999997,76.69999999999992,147231.30000000022,-0.014744242631894111,1.4723130000000022
2015-02-25 00:00:00,309096.0,158364.0,-328701.9999999997,77.99999999999991,138758.0000000003,-0.057550941953238954,1.387580000000003
2015-02-26 00:00:00,312996.0,163003.5,-333102.2999999997,79.29999999999991,142897.2000000003,0.02983035212384144,1.428972000000003
2015-02-27 00:00:00,308304.0,166630.0,-337509.0999999997,80.59999999999991,137424.9000000003,-0.03829536198050054,1.3742490000000032
2015-03-02 00:00:00,309816.0,171132.0,-341895.3999999997,81.8999999999999,139052.60000000033,0.011844287316199686,1.3905260000000033
2015-03-03 00:00:00,310464.00000000006,173120.0,-346284.69999999966,83.1999999999999,137299.3000000004,-0.012608897640173033,1.372993000000004
2015-03-04 00:00:00,308496.0,176525.5,-350613.99999999965,84.4999999999999,134407.50000000035,-0.02106201561115051,1.3440750000000035
2015-03-05 00:00:00,303384.0,181062.0,-354920.79999999964,85.7999999999999,129525.20000000036,-0.03632460986180064,1.2952520000000036
2015-03-06 00:00:00,303840.0,182148.0,-359233.0999999996,87.0999999999999,126754.90000000037,-0.021388115980519484,1.2675490000000038
2015-03-09 00:00:00,305136.0,188540.0,-363470.3999999996,88.39999999999989,130205.60000000038,0.02722340517013544,1.3020560000000039
2015-03-10 00:00:00,298824.0,189135.0,-367756.6999999996,89.69999999999989,120202.3000000004,-0.07682695675147577,1.202023000000004
2015-03-11 00:00:00,293376.0,193108.0,-371960.9999999996,90.99999999999989,114523.00000000041,-0.047247848002908155,1.1452300000000042
2015-03-12 00:00:00,298680.0,192794.00000000003,-376160.2999999996,92.29999999999988,115313.70000000045,0.006904289967954336,1.1531370000000045
2015-03-13 00:00:00,296616.0,198624.0,-380263.59999999957,93.59999999999988,114976.40000000043,-0.0029250644112539526,1.1497640000000044
2015-03-16 00:00:00,299880.0,203644.0,-384402.89999999956,94.89999999999988,119121.10000000044,0.03604826729659294,1.1912110000000045
2015-03-17 00:00:00,304896.0,208475.0,-388560.19999999955,96.19999999999987,124810.80000000045,0.04776399814978194,1.2481080000000047
2015-03-18 00:00:00,308328.0,216750.0,-392730.99999999953,97.49999999999987,132347.00000000047,0.060380992670505895,1.3234700000000048
2015-03-19 00:00:00,305988.0,219881.99999999997,-396982.2999999995,98.79999999999987,128887.70000000045,-0.026138106643898262,1.2888770000000047
2015-03-20 00:00:00,302160.0,227264.0,-401212.0999999995,100.09999999999987,128211.90000000049,-0.005243324227214519,1.2821190000000051
2015-03-23 00:00:00,305304.0,231416.99999999997,-405501.3999999995,101.39999999999986,131219.60000000047,0.02345882090507967,1.312196000000005
2015-03-24 00:00:00,304056.0,235950.0,-409788.1999999995,102.69999999999986,130217.80000000051,-0.007634530207377255,1.3021780000000054
2015-03-25 00:00:00,296112.0,232176.0,-414079.4999999995,103.99999999999986,114208.50000000052,-0.12294248558952714,1.1420850000000053
2015-03-26 00:00:00,298176.0,234897.0,-418226.79999999946,105.29999999999986,114846.20000000054,0.005583647451809615,1.1484620000000054
2015-03-27 00:00:00,295800.0,237626.0,-422349.09999999945,106.59999999999985,111076.90000000055,-0.03282041547739478,1.1107690000000054
2015-03-30 00:00:00,303288.0,241664.0,-426447.39999999944,107.89999999999985,118504.60000000056,0.06686988923889636,1.1850460000000056
2015-03-31 00:00:00,298632.0,243930.0,-430544.69999999943,109.19999999999985,112017.30000000057,-0.05474302263372022,1.1201730000000056
